seller_id,purchase_date,item_gmv_brl,distinct_orders,month
014c0679dd340a0e338872e7ec85666a,2017-12-01,400.00000,1,2017-12
014c0679dd340a0e338872e7ec85666a,2018-01-01,435.00000,1,2018-01
014c0679dd340a0e338872e7ec85666a,2018-02-01,1320.00000,1,2018-02
014c0679dd340a0e338872e7ec85666a,2018-03-01,1693.00000,3,2018-03
014c0679dd340a0e338872e7ec85666a,2018-04-01,358.00000,1,2018-04
014c0679dd340a0e338872e7ec85666a,2018-07-01,680.00000,1,2018-07
014d9a685fd57276679edd00e07089e5,2017-11-01,69.99000,1,2017-11
014d9a685fd57276679edd00e07089e5,2018-01-01,69.99000,1,2018-01
014d9a685fd57276679edd00e07089e5,2018-03-01,217.96000,4,2018-03
014d9a685fd57276679edd00e07089e5,2018-04-01,131.97000,2,2018-04
014d9a685fd57276679edd00e07089e5,2018-08-01,239.97000,3,2018-08
0176f73cc1195f367f7b32db1e5b3aa8,2017-11-01,559.70000,3,2017-11
0176f73cc1195f367f7b32db1e5b3aa8,2018-01-01,875.40000,6,2018-01
0176f73cc1195f367f7b32db1e5b3aa8,2018-02-01,365.60000,3,2018-02
0176f73cc1195f367f7b32db1e5b3aa8,2018-03-01,292.60000,4,2018-03
0176f73cc1195f367f7b32db1e5b3aa8,2018-04-01,295.70000,3,2018-04
0176f73cc1195f367f7b32db1e5b3aa8,2018-05-01,775.40000,6,2018-05
0176f73cc1195f367f7b32db1e5b3aa8,2018-06-01,509.60000,4,2018-06
0176f73cc1195f367f7b32db1e5b3aa8,2018-07-01,689.40000,6,2018-07
0176f73cc1195f367f7b32db1e5b3aa8,2018-08-01,279.80000,2,2018-08
01bcc9d254a0143f0ce9791b960b2a47,2017-08-01,117.79000,1,2017-08
01bcc9d254a0143f0ce9791b960b2a47,2017-09-01,670.77000,5,2017-09
01bcc9d254a0143f0ce9791b960b2a47,2017-10-01,317.40000,2,2017-10
01bcc9d254a0143f0ce9791b960b2a47,2018-01-01,121.35000,1,2018-01
01bcc9d254a0143f0ce9791b960b2a47,2018-02-01,165.90000,1,2018-02
01c97ebb5cdac52891c0ed1c37ba0012,2017-04-01,58.80000,2,2017-04
01c97ebb5cdac52891c0ed1c37ba0012,2017-07-01,29.40000,1,2017-07
01c97ebb5cdac52891c0ed1c37ba0012,2017-08-01,29.40000,1,2017-08
01c97ebb5cdac52891c0ed1c37ba0012,2017-11-01,58.80000,1,2017-11
01c97ebb5cdac52891c0ed1c37ba0012,2018-03-01,326.20000,3,2018-03
01c97ebb5cdac52891c0ed1c37ba0012,2018-07-01,74.90000,1,2018-07
01cf7e3d21494c41fb86034f2e714fa1,2016-10-01,69.90000,1,2016-10
